title,Demographic,All Ages,<18,18-29,30-44,45+,All Ages Voters,<18 Voters,18-29 Voters,30-44 Voters,45+ Voters
The Irishman,All,8.1,8.8,8.3,8.0,7.8,"147,198",388,"35,555","44,967","13,961"
The Irishman,Males,8.1,8.8,8.4,8.0,7.9,"92,901",285,"31,238","39,956","11,855"
The Irishman,Females,7.7,7.6,7.9,7.6,7.5,"9,317",25,"2,751","3,836","1,688"
Marriage Story,All,8.2,8.8,8.4,8.0,7.7,"68,035",218,"20,037","19,438","4,661"
Marriage Story,Males,8.2,8.8,8.4,8.0,7.7,"36,620",159,"14,615","14,868","3,567"
Marriage Story,Females,8.0,8.8,8.2,7.9,7.7,"10,840",33,"4,639","4,077",973
6 Underground,All,6.1,6.2,6.2,6.0,6.2,"50,700",100,"9,730","17,713","5,710"
6 Underground,Males,6.1,6.2,6.1,6.0,6.1,"32,034",72,"8,159","15,410","4,855"
6 Underground,Females,6.4,5.9,6.4,6.3,6.6,"4,253",15,"1,122","1,864",694
Knives Out,All,8.1,8.5,8.2,8.0,7.8,"65,395",189,"18,161","17,123","5,621"
Knives Out,Males,8.1,8.5,8.2,8.0,7.8,"35,981",135,"14,134","13,693","4,376"
Knives Out,Females,8.1,8.1,8.1,8.0,8.0,"8,356",25,"3,329","2,988","1,092"
Star Wars: Episode IX - The Rise of Skywalker,All,7.0,6.9,6.8,7.0,7.3,"103,872",333,"24,665","30,676","8,155"
Star Wars: Episode IX - The Rise of Skywalker,Males,6.9,6.8,6.7,7.0,7.3,"63,494",251,"21,193","27,137","7,131"
Star Wars: Episode IX - The Rise of Skywalker,Females,7.5,7.1,7.4,7.6,8.0,"6,936",29,"2,517","2,767",759
Jumanji: The Next Level,All,7.0,7.6,7.1,6.9,7.0,"27,109",103,"7,749","7,942","3,328"
Jumanji: The Next Level,Males,6.9,7.6,7.0,6.8,7.0,"14,056",58,"5,053","5,610","2,071"
Jumanji: The Next Level,Females,7.4,7.4,7.4,7.4,7.7,"6,163",25,"2,464","2,182","1,204"
Once Upon a Time... in Hollywood,All,7.8,8.5,8.0,7.6,7.6,"288,849",914,"80,031","80,870","21,987"
